Location,Scene,Offence,Year or Month,Measure,Value,Flags
"Northland District","Total Scene","Total Offences","2013","Recorded",15588,
"Northland District","Total Scene","Total Offences","2014","Recorded",14897,
"Northland District","Total Scene","Homicide and related offences","2013","Recorded",6,
"Northland District","Total Scene","Homicide and related offences","2014","Recorded",3,
"Northland District","Total Scene","Acts intended to cause injury","2013","Recorded",2109,
"Northland District","Total Scene","Acts intended to cause injury","2014","Recorded",1778,
"Northland District","Total Scene","Sexual assault and related offences","2013","Recorded",180,
"Northland District","Total Scene","Sexual assault and related offences","2014","Recorded",232,
"Northland District","Total Scene","Dangerous or negligent acts endangering persons","2013","Recorded",31,
"Northland District","Total Scene","Dangerous or negligent acts endangering persons","2014","Recorded",32,
"Northland District","Total Scene","Abduction, harassment and other related offences against a person","2013","Recorded",743,
"Northland District","Total Scene","Abduction, harassment and other related offences against a person","2014","Recorded",687,
"Northland District","Total Scene","Robbery, extortion and related offences","2013","Recorded",92,
"Northland District","Total Scene","Robbery, extortion and related offences","2014","Recorded",80,
"Northland District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Recorded",2688,
"Northland District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Recorded",2962,
"Northland District","Total Scene","Theft and related offences","2013","Recorded",4337,
"Northland District","Total Scene","Theft and related offences","2014","Recorded",4470,
"Northland District","Total Scene","Fraud, deception and related offences","2013","Recorded",367,
"Northland District","Total Scene","Fraud, deception and related offences","2014","Recorded",238,
"Northland District","Total Scene","Illicit drug offences","2013","Recorded",961,
"Northland District","Total Scene","Illicit drug offences","2014","Recorded",825,
"Northland District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Recorded",333,
"Northland District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Recorded",326,
"Northland District","Total Scene","Property damage and environmental pollution","2013","Recorded",1848,
"Northland District","Total Scene","Property damage and environmental pollution","2014","Recorded",1576,
"Northland District","Total Scene","Public order offences","2013","Recorded",1123,
"Northland District","Total Scene","Public order offences","2014","Recorded",870,
"Northland District","Total Scene","Offences against justice procedures, government security and government operations","2013","Recorded",726,
"Northland District","Total Scene","Offences against justice procedures, government security and government operations","2014","Recorded",791,
"Northland District","Total Scene","Miscellaneous offences","2013","Recorded",44,
"Northland District","Total Scene","Miscellaneous offences","2014","Recorded",27,
"Northland District","Total Scene","Total Offences","2013","Resolved",7499,
"Northland District","Total Scene","Total Offences","2014","Resolved",6458,
"Northland District","Total Scene","Homicide and related offences","2013","Resolved",6,
"Northland District","Total Scene","Homicide and related offences","2014","Resolved",2,
"Northland District","Total Scene","Acts intended to cause injury","2013","Resolved",1609,
"Northland District","Total Scene","Acts intended to cause injury","2014","Resolved",1274,
"Northland District","Total Scene","Sexual assault and related offences","2013","Resolved",109,
"Northland District","Total Scene","Sexual assault and related offences","2014","Resolved",153,
"Northland District","Total Scene","Dangerous or negligent acts endangering persons","2013","Resolved",13,
"Northland District","Total Scene","Dangerous or negligent acts endangering persons","2014","Resolved",16,
"Northland District","Total Scene","Abduction, harassment and other related offences against a person","2013","Resolved",477,
"Northland District","Total Scene","Abduction, harassment and other related offences against a person","2014","Resolved",407,
"Northland District","Total Scene","Robbery, extortion and related offences","2013","Resolved",56,
"Northland District","Total Scene","Robbery, extortion and related offences","2014","Resolved",38,
"Northland District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Resolved",383,
"Northland District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Resolved",412,
"Northland District","Total Scene","Theft and related offences","2013","Resolved",1204,
"Northland District","Total Scene","Theft and related offences","2014","Resolved",1176,
"Northland District","Total Scene","Fraud, deception and related offences","2013","Resolved",251,
"Northland District","Total Scene","Fraud, deception and related offences","2014","Resolved",92,
"Northland District","Total Scene","Illicit drug offences","2013","Resolved",841,
"Northland District","Total Scene","Illicit drug offences","2014","Resolved",730,
"Northland District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Resolved",279,
"Northland District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Resolved",271,
"Northland District","Total Scene","Property damage and environmental pollution","2013","Resolved",674,
"Northland District","Total Scene","Property damage and environmental pollution","2014","Resolved",510,
"Northland District","Total Scene","Public order offences","2013","Resolved",934,
